2022-03-30 16:43:15,354 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-03-30 16:43:15,360 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-03-30 16:43:19,325 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-03-30 16:43:19,325 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-03-30 16:43:26,131 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-03-30 16:43:39,207 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-01 16:04:32,887 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-01 16:04:32,940 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-04-01 16:04:32,942 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-04-13 15:26:23,863 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-04-13 15:26:23,864 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-04-13 15:26:24,542 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 15:26:41,940 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 15:26:58,000 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-13 15:26:58,003 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-04-13 15:26:58,005 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-04-13 15:27:02,457 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-04-13 15:27:02,457 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-04-13 15:27:03,053 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 16:14:27,456 | MainThread   | [INFO    ] | exit_handler        |: Exiting...
2022-04-13 16:14:27,459 | MainThread   | [WARNING ] | exit_handler        |: Could not disconnect before exiting
2022-04-13 16:14:27,460 | MainThread   | [WARNING ] | exit_handler        |: Not connected to a BLE device
2022-04-13 16:14:31,794 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=9, micro=9, releaselevel='final', serial=0)
2022-04-13 16:14:31,794 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-12.2-x86_64-i386-64bit
2022-04-13 16:14:32,325 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 16:14:38,028 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-13 16:18:15,248 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-13 16:18:20,935 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 16:18:27,570 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-13 16:20:54,703 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2022-04-13 16:21:39,369 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
2022-04-13 16:21:53,340 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:83:A5:6D:02:3C
2022-04-13 16:21:58,201 | MainThread   | [INFO    ] | _connect            |: Connected to C0:83:A5:6D:02:3C
2022-04-13 16:22:08,761 | MainThread   | [INFO    ] | <module>            |: IMU Reading: 0.989,0.166,0.65,0.0,0.2,0.4,0.424,0.402,0.307,0.29
2022-04-13 16:22:09,495 | MainThread   | [INFO    ] | <module>            |: IMU Reading: -2.0,0.927,0.463,0.7,0.3,0.42,0.458,0.404,0.287,0.29
2022-04-13 16:23:51,469 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from B45C71B2-3BCA-639D-7AF3-3C14C2003C3E
